CarID,mpg,cyl,disp,hp,drat,wt
1,21,6,160,110,3.9,2.62
2,21,6,160,110,3.9,2.875
3,22.8,4,108,93,3.85,2.32
4,21.4,6,258,110,3.08,3.215
5,18.7,8,360,175,3.15,3.44
6,18.1,6,225,105,2.76,3.46
7,14.3,8,360,245,3.21,3.57
8,24.4,4,146.7,62,3.69,3.19
9,22.8,4,140.8,95,3.92,3.15
10,19.2,6,167.6,123,3.92,3.44
11,17.8,6,167.6,123,3.92,3.44
12,16.4,8,275.8,180,3.07,4.07
13,17.3,8,275.8,180,3.07,3.73
14,15.2,8,275.8,180,3.07,3.78
15,10.4,8,472,205,2.93,5.25
16,10.4,8,460,215,3,5.424
17,14.7,8,440,230,3.23,5.345
18,32.4,4,78.7,66,4.08,2.2
19,30.4,4,75.7,52,4.93,1.615
20,33.9,4,71.1,65,4.22,1.835
21,21.5,4,120.1,97,3.7,2.465
22,15.5,8,318,150,2.76,3.52
23,15.2,8,304,150,3.15,3.435
24,13.3,8,350,245,3.73,3.84
25,19.2,8,400,175,3.08,3.845
26,27.3,4,79,66,4.08,1.935
27,26,4,120.3,91,4.43,2.14
28,30.4,4,95.1,113,3.77,1.513
29,15.8,8,351,264,4.22,3.17
30,19.7,6,145,175,3.62,2.77
31,15,8,301,335,3.54,3.57
32,21.4,4,121,109,4.11,2.78
33,16.896,5.28,147.488,108.24,3.4496,3.0272
34,15.664,5.28,147.488,108.24,3.4496,3.0272
35,14.432,7.04,242.704,158.4,2.7016,3.5816
36,15.224,7.04,242.704,158.4,2.7016,3.2824
